notation,hierarcylevel,type,prefLabel@de,prefLabel@en,prefLabel@fr,altLabel@de,altLabel@en,altLabel@fr,definition@de,broader,related,source,creator,exactMatch,closeMatch,relatedMatch,broadMatch,narrowMatch,seeAlso
B51DAF,4.0,Q2,Material,,,Objektmaterial,,,Material aus dem das Objekt besteht.,GD172G,,,Kristina Fischer/ LEIZA,,http://terminology.lido-schema.org/lido00132 | https://vocab.getty.edu/aat/300010358,https://www.wikidata.org/wiki/Q16829513,,,
B5DD1A,5.0,Q2,Metall,metal,mÃ©tal,Metalle,,,"chemisches Element, das durch eine gute elektrische und thermische LeitfÃ¤higkeit, einen typischen Glanz sowie gute Formbarkeit mit spanlosen oder spangebenden Methoden gekennzeichnet ist. Die typischen metallischen Eigenschaften ergeben sich aus der charakteristischen Gitterstruktur des Atomaufbaus. Metalle werden bereits seit Jahrhunderten von Menschen systematisch gewonnen, bearbeitet und fÃ¼r Werkzeuge, Schmuck, Waffen und andere Zwecke verwendet. Sie spielen eine zentrale Rolle in der technologischen und kulturellen Entwicklung der Menschheit.",B51DAF,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000),S. 11, 18 - 21.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S.17.",Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300010900 | https://cameo.mfa.org/wiki/Metal | https://d-nb.info/gnd/4038860-8,http://www.wikidata.org/entity/Q11426,,,
F7D3DB,6.0,Q2,reines Metall,,,Reinmetall,,,"Metall, welches nahezu ausschlieÃlich aus einer Atomart besteht und nur sehr geringe Mengen an anderen Elementen enthÃ¤lt. Jedes Reinmetall besitzt charakteristische physikalische und chemische Eigenschaften, wie eine spezifische Dichte, HÃ¤rte, Schmelztemperatur und chemische AktivitÃ¤t, das es von anderen Metallen unterscheidet. ",B5DD1A,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000),S. 21",Kristina Fischer/ LEIZA,,,,,,
FGA46A,7.0,Q2,Edelmetall,nobel metal,,Edelmetalle,,,"korrosionsbestÃ¤ndiges Metall, das aufgrund seiner chemischen und physikalischen Eigenschaften und Ã¤sthetischen QualitÃ¤ten hochgeschÃ¤tzt wird. ",F7D3DB,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000). S.26.| DIN EN ISO 2080:2022-06, Metallische und andere anorganische ÃberzÃ¼ge - OberflÃ¤chenbehandlung, metallische und andere anorganische ÃberzÃ¼ge - WÃ¶rterbuch (ISO 2080:2022); Deutsche und Englische Fassung EN ISO 2080:2022, Deutsches Institut fÃ¼r Normung. ",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q585302 | https://vocab.getty.edu/aat/300241621 | http://d-nb.info/gnd/4013531-7,,,,
FD5149,8.0,Q2,Gold,gold,,,,,"gelbes Metall mit dem chemischen Symbol Au und der Ordnungszahl 79. GehÃ¶rt zu den ersten Metallen, die in der frÃ¼hen Menschheitsgeschichte verarbeitet wurden. Aufgrund seiner Seltenheit, der guten Bearbeitbarkeit sowie der schÃ¶nen Farbe und dem auffÃ¤lligen Glanz wird Gold seit Jahrtausenden fÃ¼r Schmuck und Prestigeobjekte verwendet. Durch die hohe KorrosionsbestÃ¤ndigkeit sind an Goldobjekten kaum materialbezogene, konservatorische MaÃnahmen notwendig.",FGA46A,DC5B2B,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000),S. 26, 32.|Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 30, 33 - 38.",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q897 | https://cameo.mfa.org/wiki/Gold | https://vocab.getty.edu/aat/300011021 | http://d-nb.info/gnd/4157819-3,,,,
F135A8,8.0,Q2,Silber,silver,,,,,"weiÃlich-graues Metall mit dem chemischen Symbol Ag und der Ordnungszahl 47. GehÃ¶rt, ebenso wie Gold und Kupfer, zu den ersten Metallen die von den Menschen verarbeitet wurde. Silber wurde als edler metallischer Werkstoff aufgrund seiner guten Verarbeitbarkeit, hohen KorrosionsbestÃ¤ndigkeit im Vergleich zu anderen Metallen und seiner reinen warm-glÃ¤nzenden Erscheinung seit der Antike fÃ¼r MÃ¼nzen, Schmuck und zeremonielle GegenstÃ¤nde genutzt. Im Vergleich zu Gold war Silber Ã¼berdies hÃ¤ufiger verfÃ¼gbar. Als Edelmetall ist es relativ bestÃ¤ndig gegen Korrosion, wird jedoch von Luftsauerstoff, Schwefel und chloridhaltigen LÃ¶sungen (z.B. in stark chloridhaltigen BÃ¶den) unter Bildung von Silberoxid, Silbersulfid und/oder Silberchlorid angegriffen. ",FGA46A,AD789F,"Wilhelm P. Bauer, GrundzÃ¼ge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. BeitrÃ¤ge zur Analyse, Konzeption und Technologie. MÃ¼nchen 2000, 63â67.| Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000),S. 28, 32.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 53, 55 - 59.",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q1090 | https://vocab.getty.edu/aat/300011029 | http://d-nb.info/gnd/4133759-1,,,,
BBF566,7.0,Q2,Unedelmetall,base metal,,unedles Metall| unedle Metalle,,,"Sammelbegriff fÃ¼r Metalle, mit negativem Normalpotenzial. Sie neigen, aufgrund ihres hohen LÃ¶sungsdrucks, unter Normalbedingungen zur chemischen Reaktion mit ihrer Umgebung. Objekte aus unedlen Metallen zeigen im archÃ¤ologischen Kontext daher in der Regel mehr oder weniger starke Korrosionserscheinungen.",F7D3DB,,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000),S. 26.| Charles E. Mortimer, Ulrich MÃ¼ller, Chemie. Das Basiswissen der Chemie (Stuttgart 2007)9.",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q428855 | https://vocab.getty.edu/aat/300241615 | http://d-nb.info/gnd/4583082-4,,,,
F71C6B,8.0,Q2,Eisen,iron,fer,Fe,,,"blÃ¤ulich-grÃ¤uliches Metall mit dem chemischen Symbol Fe und der Ordnungszahl 26. Im archÃ¤ologischen Kontext kommen in der Regel ausschlieÃlich Eisen-Kohlenstoff-Legierungen vor, sodass reines Eisen kaum eine Rolle in der Restaurierung spielt. Eisen ist sehr unedel und neigt sowohl an der Luft, als auch bei der Bodenlagerung zu starken Korrosionsreaktionen.  ",BBF566,BC75G1,"Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000), S.32/33| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 97/98.",Kristina Fischer/ LEIZA,,https://www.wikidata.org/wiki/Q677 | https://vocab.getty.edu/aat/300011002 | http://d-nb.info/gnd/4014002-7,,,,
GB5BGF,8.0,Q2,Buntmetall,nonferrous metal,,,,,"Sammelbegriff fÃ¼r farbige Metalle, auÃer Eisen und Edelmetalle. Sie zeichnen sich durch ihre Farbvielfalt aus und wurden bereits seit der frÃ¼hsten Menschheitsgeschichte fÃ¼r ihre spezifischen Eigenschaften wie HÃ¤rte, KorrosionsbestÃ¤ndigkeit und elektrische LeitfÃ¤higkeit geschÃ¤tzt. ",BBF566,,"Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 17. ",Kristina Fischer/ LEIZA,,,,,,
B28FA6,9.0,Q2,Kupfer,copper,,Cu|reines Kupfer,,,"rot-brÃ¤unliches Metall mit dem chemischen Symbol Cu und der Ordnungszahl 29. Kupfer war wohl das erstes Metall, dass von den Menschen gezielt hergestellt und verarbeitet wurde. Kupfer ist in feuchter, verunreinigter Luft, sowie in chloridbelasteten BÃ¶den recht korrossionsanfÃ¤llig. Mit den Bestandteilen der Luft (u.a. Schwefel- oder Carbonatverbindungen) bildet es eine Patina, die als Schutzschicht fÃ¼r das darunterliegende Metall gegenÃ¼ber weiterem Korrosionsangriff dient. Diese Patina kann dem Objekt unter umstÃ¤nden ein recht Ã¤sthetisches Erscheinungsbild verleihen (sog. ""Edelpatina""). ",GB5BGF,FGB415|GC4CA7,"Wilhelm P. Bauer, GrundzÃ¼ge der Metallkorrosion. In: Peter Heinrich (Hrsg.), Metallrestaurierung. BeitrÃ¤ge zur Analyse, Konzeption und Technologie. MÃ¼nchen 2000, 63â67.| Erhard Brepohl, Theorie und Praxis des Goldschmieds (MÃ¼nchen 2000), S.28/29, 33.| Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989), S. 83 - 85.",Kristina Fischer/ LEIZA,,https://vocab.getty.edu/aat/300011020 | https://www.wikidata.org/wiki/Q753 | http://d-nb.info/gnd/4033734-0,,,,
